PROTEIN_SEQUENCE	Comm1 (26)	Comm2 (8)	Comm3 (4)
A4ER98_9RHOB/147-281	1.209231 (8)	131.732147 (8)	0.000000 (0)
B9KL47_RHOSK/11-148	1.549231 (8)	3.625000 (2)	24.000000 (2)
D7WWV9_9BACI/3-140	4.529231 (12)	0.000000 (0)	0.000000 (0)
B7QPL4_9RHOB/96-230	0.910769 (7)	131.732147 (8)	0.000000 (0)
C8X3R7_DESRD/7-139	1.141539 (7)	75.553574 (6)	117.500000 (4)
D3E9M0_GEOS4/4-146	27.106153 (21)	0.000000 (0)	0.000000 (0)
G8RI92_MYCRN/9-133	0.535385 (5)	21.696428 (4)	62.583332 (3)
G0A474_METMM/6-151	46.073845 (26)	0.000000 (0)	0.000000 (0)
E3BAE8_9MICO/93-265	2.238461 (9)	0.000000 (0)	0.000000 (1)
Q6AM17_DESPS/16-152	1.066154 (6)	85.178574 (6)	117.500000 (4)
A6F530_9ALTE/7-151	40.878460 (25)	0.000000 (0)	0.000000 (0)
B3QWK8_CHLT3/8-153	38.263077 (24)	0.000000 (0)	0.000000 (0)
C2EM55_9LACO/4-150	8.452308 (12)	0.000000 (0)	0.000000 (0)
A9X5I4_9RHIZ/8-142	0.873846 (7)	131.732147 (8)	0.000000 (0)
F9ZDM1_9PROT/9-155	40.544617 (25)	0.000000 (0)	0.000000 (0)
C0N3U7_9GAMM/7-137	1.201538 (7)	131.732147 (8)	0.000000 (0)
F2KIG1_PSEBN/3-134	0.944615 (7)	131.732147 (8)	0.000000 (0)
D2S4W5_GEOOG/7-128	0.953846 (7)	39.035713 (4)	117.500000 (4)
D4K0C1_9FIRM/4-145	12.876923 (16)	0.000000 (0)	0.000000 (0)
B3QL25_CHLP8/5-149	28.741539 (22)	0.000000 (0)	0.000000 (0)
B5JDY3_9BACT/6-137	0.906154 (7)	104.964287 (7)	0.000000 (0)
E3E757_PAEPS/4-186	2.946154 (10)	0.000000 (0)	0.000000 (0)
E2MVL5_9CORY/79-199	0.072308 (4)	24.142857 (4)	0.000000 (1)
C0QF98_DESAH/4-137	0.475385 (5)	59.678570 (5)	117.500000 (4)
Q8EUM3_MYCPE/3-146	13.464616 (16)	0.000000 (1)	0.000000 (0)
Q8I193_DROVI/6-152	11.509231 (16)	0.000000 (1)	0.000000 (1)
E4TJ56_CALNY/11-140	1.201538 (7)	105.267860 (7)	117.500000 (4)
B3DWD3_METI4/7-141	0.472308 (5)	131.732147 (8)	0.000000 (0)
G2SXU1_ROSHA/4-156	14.773847 (16)	0.000000 (0)	0.000000 (0)
G8LJQ9_ENTCL/9-143	10.658462 (16)	0.000000 (0)	0.000000 (0)
H6L3R0_SAPGL/3-146	33.486153 (22)	0.000000 (0)	0.000000 (0)
D3RXB7_FERPA/3-122	1.246154 (8)	28.571428 (4)	0.000000 (0)
C3KIQ1_ANOFI/9-154	39.775383 (25)	0.000000 (0)	0.000000 (1)
G0CEZ0_XANCA/1-145	38.718460 (24)	0.000000 (0)	0.000000 (0)
H1DLF3_9PORP/4-151	43.103077 (25)	0.000000 (0)	0.000000 (0)
B4NG01_DROWI/6-155	14.912308 (17)	0.000000 (1)	0.000000 (1)
D5NVN4_CORAM/7-133	0.826154 (6)	3.428571 (2)	62.583332 (3)
Q3SIL0_THIDA/5-150	42.972309 (25)	0.000000 (0)	0.000000 (0)
A6G951_9DELT/10-163	13.130769 (16)	0.000000 (0)	0.000000 (0)
D8K1Y6_DEHLB/4-127	1.309231 (8)	34.017857 (4)	56.916668 (3)
D9TTU9_THETC/3-143	2.404615 (10)	0.000000 (0)	0.000000 (0)
D5SZQ4_LEUKI/4-134	1.201538 (7)	131.732147 (8)	117.500000 (4)
PPAC_DICDI/11-172	42.170769 (25)	0.000000 (0)	0.000000 (0)
B8CY47_HALOH/7-127	1.596923 (9)	47.857143 (5)	117.500000 (4)
A8A1S7_ECOHS/5-139	8.260000 (14)	0.000000 (1)	0.000000 (0)
E0UDE2_CYAP2/5-150	46.073845 (26)	0.000000 (0)	0.000000 (0)
B9NQV0_9RHOB/3-135	0.755385 (6)	131.732147 (8)	0.000000 (1)
Q21SY4_RHOFD/6-151	13.806154 (18)	0.000000 (0)	0.000000 (0)
G3MQF7_9ACAR/10-154	43.103077 (25)	0.000000 (0)	0.000000 (1)
D2R5S0_PIRSD/223-368	3.495385 (11)	0.000000 (0)	13.416667 (2)
F3IRT1_PSESL/5-146	8.260000 (14)	0.000000 (0)	0.000000 (0)
C6CUU9_PAESJ/6-149	31.621538 (22)	0.000000 (0)	0.000000 (0)
E6X5K3_CELAD/5-145	35.027691 (23)	0.000000 (0)	0.000000 (0)
A8PW86_MALGO/8-141	29.721539 (21)	0.000000 (0)	0.000000 (0)
C7RFZ3_ANAPD/7-129	1.092308 (8)	34.017857 (4)	22.000000 (2)
A7C721_9GAMM/4-148	24.890770 (21)	0.000000 (0)	0.000000 (0)
D2R7U3_PIRSD/11-132	0.641538 (7)	77.732140 (6)	65.833336 (3)
D1BFA6_SANKS/204-325	0.644615 (6)	54.071430 (5)	0.000000 (1)
F8JQ81_STREN/23-204	4.829231 (12)	0.000000 (0)	0.000000 (1)
A0K1Q2_ARTS2/10-161	21.875385 (20)	0.000000 (0)	0.000000 (0)
B3QLI2_CHLP8/6-136	1.201538 (7)	105.267860 (7)	117.500000 (4)
D6CMG8_THIS3/8-142	0.755385 (6)	131.732147 (8)	0.000000 (0)
D0CXU5_9RHOB/114-248	0.910769 (7)	131.732147 (8)	0.000000 (0)
A1BI25_CHLPD/16-161	24.618462 (20)	0.000000 (0)	0.000000 (0)
H2HEC1_CORDP/7-133	0.826154 (6)	9.321428 (3)	62.583332 (3)
E0TBY4_PARBH/8-132	1.404615 (8)	11.250000 (3)	0.000000 (1)
C6E761_GEOSM/7-139	0.543077 (5)	104.964287 (7)	117.500000 (4)
C7PGX1_CHIPD/4-133	1.538462 (8)	85.178574 (6)	117.500000 (4)
A5Z3N9_9FIRM/7-142	4.361538 (7)	0.000000 (0)	0.000000 (0)
A4XEG5_NOVAD/8-142	0.906154 (7)	131.732147 (8)	0.000000 (0)
H3ZA40_9ALTE/1-128	24.638462 (15)	0.000000 (0)	0.000000 (0)
D2BK40_LACLK/4-132	2.206154 (9)	108.482140 (7)	117.500000 (4)
D7CRU1_TRURR/9-136	0.476923 (4)	105.267860 (7)	117.500000 (4)
A5N8X9_CLOK5/5-135	0.472308 (5)	131.732147 (8)	65.833336 (3)
A4U003_9PROT/8-142	0.712308 (6)	131.732147 (8)	0.000000 (0)
C9LPV4_9FIRM/1-129	7.273846 (8)	0.000000 (0)	0.000000 (0)
C5EQ90_9FIRM/11-152	18.126154 (18)	0.000000 (1)	0.000000 (0)
B2VY49_PYRTR/13-176	38.032307 (24)	0.000000 (0)	0.000000 (1)
F4PJL7_DICFS/6-169	46.073845 (26)	0.000000 (0)	0.000000 (0)
A5Z9U6_9FIRM/1-129	10.378462 (10)	0.000000 (0)	0.000000 (0)
F2KNZ1_ARCVS/4-123	1.147692 (8)	4.642857 (2)	0.000000 (0)
D1R6X8_9CHLA/1-146	25.261538 (20)	0.000000 (0)	0.000000 (0)
C9K1F8_KLEPN/5-139	7.307693 (14)	0.000000 (0)	0.000000 (0)
Q6CVV2_KLULA/7-153	33.926155 (23)	0.000000 (0)	0.000000 (0)
C1DR22_AZOVD/3-147	43.103077 (25)	0.000000 (0)	0.000000 (0)
H1HSV8_9FIRM/4-152	10.853847 (15)	0.000000 (0)	0.000000 (0)
H1NR27_9SPHI/1-143	22.321539 (20)	0.000000 (0)	0.000000 (0)
B4KBQ7_DROMO/3-150	19.063076 (19)	0.000000 (0)	0.000000 (0)
B0NU78_BACSE/3-134	0.269231 (4)	16.160715 (3)	0.000000 (1)
A7VYP9_9CLOT/1-124	4.052308 (8)	0.000000 (0)	24.000000 (2)
C5BL27_TERTT/6-151	42.972309 (25)	0.000000 (0)	0.000000 (0)
G6XTL2_RHIRD/6-150	46.073845 (26)	0.000000 (0)	0.000000 (0)
H0BW44_9BURK/8-142	0.472308 (5)	131.732147 (8)	0.000000 (0)
Q1Z887_PHOPR/5-143	9.310769 (15)	0.000000 (0)	0.000000 (0)
G6AG32_9BACT/11-158	44.315384 (25)	0.000000 (0)	0.000000 (0)
D6TM85_9CHLR/14-144	0.527692 (6)	131.732147 (8)	117.500000 (4)
H3NQ25_9FIRM/4-126	1.092308 (8)	34.017857 (4)	22.000000 (2)
E3I468_RHOVT/7-150	44.135384 (25)	0.000000 (0)	0.000000 (0)
C5QLE2_STAEP/3-135	5.981538 (13)	0.000000 (0)	0.000000 (0)
C2LXF9_STAHO/3-135	4.198462 (12)	0.000000 (0)	0.000000 (1)
G6GR37_9CHRO/5-150	46.073845 (26)	0.000000 (0)	0.000000 (0)
A4CB04_9GAMM/9-150	44.135384 (25)	0.000000 (0)	0.000000 (0)
Q84GX3_PHOLU/5-139	8.713846 (14)	0.000000 (0)	0.000000 (0)
E9V2J0_9ACTO/6-150	3.413846 (11)	0.000000 (0)	0.000000 (1)
B4X1H4_9GAMM/7-138	1.201538 (7)	131.732147 (8)	0.000000 (0)
Q0BTX2_GRABC/8-151	44.135384 (25)	0.000000 (0)	0.000000 (0)
F7NIR4_9FIRM/4-145	2.661538 (10)	0.000000 (1)	13.416667 (2)
A1B3F5_PARDP/9-146	1.098462 (7)	0.000000 (1)	24.000000 (2)
F9S2T2_9VIBR/4-146	41.141537 (24)	0.000000 (0)	0.000000 (0)
A3TQF6_9MICO/14-189	9.650769 (15)	0.000000 (1)	0.000000 (0)
Q11LY2_MESSB/27-158	1.098462 (7)	11.250000 (3)	24.000000 (2)
A2W1F3_9BURK/7-148	8.930769 (15)	0.000000 (0)	0.000000 (0)
B4S473_PROA2/5-146	28.741539 (22)	0.000000 (0)	0.000000 (0)
F6EEJ4_AMYSD/1-129	10.707692 (10)	0.000000 (0)	0.000000 (1)
D7A0V4_STAND/25-159	1.046154 (7)	11.250000 (3)	24.000000 (2)
E0E239_9FIRM/4-145	18.126154 (18)	0.000000 (0)	0.000000 (0)
D4KTN9_9FIRM/7-145	4.053846 (9)	0.000000 (0)	0.000000 (1)
Q1NIX2_9DELT/5-135	1.066154 (6)	81.928574 (6)	117.500000 (4)
C3PFS3_CORA7/4-126	0.327692 (4)	0.000000 (1)	24.333334 (2)
G2ZAH2_LISIP/4-146	30.826155 (22)	0.000000 (0)	0.000000 (0)
A1R9L2_ARTAT/9-188	8.713846 (14)	0.000000 (0)	0.000000 (0)
D3US06_LISSS/3-134	6.892308 (14)	0.000000 (1)	0.000000 (0)
C7RK41_ACCPU/7-153	46.073845 (26)	0.000000 (0)	0.000000 (0)
Q1J2T1_DEIGD/10-139	0.910769 (7)	71.553574 (6)	62.583332 (3)
A6W5A0_KINRD/6-130	0.787692 (6)	12.071428 (3)	62.583332 (3)
G4CPN1_9NEIS/6-140	7.423077 (14)	0.000000 (0)	0.000000 (0)
Q7VFB4_HELHP/9-149	21.201538 (18)	0.000000 (0)	0.000000 (0)
C5BXM4_BEUC1/208-329	0.644615 (6)	54.071430 (5)	24.333334 (2)
G6IIT1_9DELT/9-141	0.543077 (5)	104.964287 (7)	65.833336 (3)
D8LN75_ECTSI/82-244	42.972309 (25)	0.000000 (0)	0.000000 (0)
H5U2B9_9ACTO/92-213	0.476923 (5)	54.071430 (5)	117.500000 (4)
A0PNF8_MYCUA/8-151	17.521538 (18)	0.000000 (0)	0.000000 (0)
A8ESD7_ARCB4/5-143	34.212307 (22)	0.000000 (0)	0.000000 (0)
F9L646_STACP/3-134	4.518462 (12)	0.000000 (0)	0.000000 (0)
D6GTW8_FILAD/4-149	20.350769 (19)	0.000000 (0)	0.000000 (0)
B2JS56_BURP8/6-142	6.550769 (12)	3.928571 (2)	0.000000 (0)
H0E0T8_9ACTN/4-124	0.615385 (6)	17.267857 (3)	117.500000 (4)
D9RAP5_CLOSW/4-125	1.092308 (8)	34.017857 (4)	22.000000 (2)
H2UMG4_TAKRU/9-156	39.775383 (25)	0.000000 (0)	0.000000 (0)
Q8FR85_COREF/7-133	0.826154 (6)	9.321428 (3)	24.333334 (2)
E6K0Y0_PARDN/9-163	11.307693 (16)	0.000000 (0)	0.000000 (0)
B6JDG1_OLICO/13-147	0.543077 (5)	11.250000 (3)	56.916668 (3)
A4XSR5_PSEMY/3-147	46.073845 (26)	0.000000 (0)	0.000000 (0)
A0LPB9_SYNFM/9-141	1.141539 (7)	105.267860 (7)	117.500000 (4)
A3UII8_9RHOB/7-152	40.099998 (25)	0.000000 (0)	0.000000 (0)
D6DPB2_ENTCL/9-143	11.461538 (16)	0.000000 (0)	0.000000 (0)
E5W8Z5_9BACI/3-142	2.578462 (10)	0.000000 (0)	0.000000 (1)
E3CYR0_9BACT/4-147	6.115385 (13)	0.000000 (0)	0.000000 (1)
H5U6C0_9ACTO/3-175	5.955385 (13)	0.000000 (1)	0.000000 (0)
A6C066_9PLAN/6-137	0.755385 (6)	39.196430 (5)	117.500000 (4)
A8ING3_AZOC5/27-160	0.324615 (4)	9.946428 (3)	0.000000 (1)
C0B6G6_9FIRM/1-129	5.195385 (8)	0.000000 (0)	0.000000 (0)
Q39YB0_GEOMG/5-134	0.849231 (7)	75.553574 (6)	117.500000 (4)
F2IWU7_POLGS/11-142	0.930769 (7)	9.321428 (3)	56.916668 (3)
B1XPW7_SYNP2/4-127	0.826154 (7)	14.035714 (3)	117.500000 (4)
G1WB06_9BACT/11-157	44.315384 (25)	0.000000 (0)	0.000000 (0)
A4WSE3_RHOS5/114-248	0.755385 (6)	91.875000 (7)	0.000000 (0)
Q67TD2_SYMTH/6-145	5.381538 (13)	0.000000 (0)	0.000000 (1)
H7EX72_PSEST/3-147	46.073845 (26)	0.000000 (0)	0.000000 (0)
F0K5E6_CLOAE/3-141	3.632308 (11)	0.000000 (0)	0.000000 (1)
I1DM06_9VIBR/5-143	5.112308 (12)	0.000000 (1)	0.000000 (0)
A6VKM2_ACTSZ/1-125	11.815385 (10)	0.000000 (0)	0.000000 (0)
E8N7F9_MICTS/6-127	1.304615 (8)	39.035713 (4)	117.500000 (4)
F4CDK4_SPHS2/3-140	43.103077 (25)	0.000000 (0)	0.000000 (0)
E1VH51_9GAMM/45-178	6.420000 (13)	0.000000 (0)	0.000000 (0)
E4TXK7_SULKY/4-128	1.066154 (6)	81.928574 (6)	0.000000 (0)
H9KIQ7_APIME/7-147	35.824615 (23)	0.000000 (0)	0.000000 (0)
G8M1U6_CLOCD/4-154	3.632308 (11)	0.000000 (1)	13.416667 (2)
F2F411_SOLSS/1-125	0.743077 (4)	0.000000 (0)	0.000000 (0)
D5H2D9_LACCS/4-146	19.307692 (19)	0.000000 (0)	0.000000 (0)
Q21J12_SACD2/10-155	37.689232 (24)	0.000000 (0)	0.000000 (0)
D2QIK3_SPILD/4-131	0.755385 (6)	64.571426 (5)	117.500000 (4)
B4KBQ6_DROMO/6-150	33.998463 (22)	0.000000 (0)	0.000000 (0)
A6Q0Y8_NITSB/4-126	1.201538 (7)	105.267860 (7)	0.000000 (0)
H2CIV7_9LEPT/9-157	38.435383 (24)	0.000000 (0)	0.000000 (0)
A4TF51_MYCGI/1-162	6.321538 (13)	0.000000 (0)	0.000000 (0)
F0Z7S7_DICPU/12-169	46.073845 (26)	0.000000 (0)	0.000000 (0)
G8C0M5_TETPH/9-155	33.926155 (23)	0.000000 (0)	0.000000 (0)
B0W220_CULQU/3-146	22.564615 (20)	0.000000 (1)	0.000000 (1)
F3ZVB7_MAHA5/5-148	4.201539 (12)	0.000000 (0)	13.416667 (2)
F0Z2E7_9CLOT/364-500	3.469231 (7)	0.000000 (0)	0.000000 (1)
D7EHY8_TRICA/142-286	38.107693 (24)	0.000000 (0)	0.000000 (0)
D4F6V6_EDWTA/15-149	10.107693 (15)	0.000000 (0)	0.000000 (0)
H1WGZ8_9CYAN/4-126	0.538462 (6)	14.035714 (3)	65.833336 (3)
Q10XI0_TRIEI/5-150	46.073845 (26)	0.000000 (0)	0.000000 (0)
G2HDQ1_9DELT/6-138	1.786154 (8)	105.267860 (7)	117.500000 (4)
B7K5J0_CYAP8/4-127	0.826154 (7)	14.035714 (3)	65.833336 (3)
A8URP0_9AQUI/3-129	0.755385 (6)	131.732147 (8)	117.500000 (4)
D5C0S4_NITHN/7-138	1.201538 (7)	131.732147 (8)	0.000000 (0)
Q0G5I9_9RHIZ/7-150	44.135384 (25)	0.000000 (0)	0.000000 (0)
F3QKV0_9BURK/37-182	46.073845 (26)	0.000000 (0)	0.000000 (0)
E0RXJ2_BUTPB/4-156	14.824615 (17)	0.000000 (0)	0.000000 (0)
C5DUG7_ZYGRC/9-156	38.481537 (24)	0.000000 (1)	0.000000 (0)
E8LBS3_9FIRM/1-130	6.713846 (8)	0.000000 (0)	0.000000 (0)
B9LM78_CHLSY/7-149	31.621538 (22)	0.000000 (0)	0.000000 (0)
Q9EUU3_PSEPU/3-134	0.944615 (7)	131.732147 (8)	0.000000 (0)
B3LWV1_DROAN/10-155	38.036922 (24)	0.000000 (0)	0.000000 (0)
A8H5J2_SHEPA/7-154	39.176922 (24)	0.000000 (0)	0.000000 (0)
C6D5G5_PAESJ/4-134	3.609231 (11)	0.000000 (0)	0.000000 (0)
A1HR92_9FIRM/4-145	3.124615 (11)	0.000000 (0)	0.000000 (1)
C1AS15_RHOOB/98-219	0.644615 (6)	28.571428 (4)	117.500000 (4)
F5SHN4_9BACL/7-136	1.201538 (7)	108.482140 (7)	65.833336 (3)
H0K7W9_9PSEU/7-128	0.644615 (6)	54.071430 (5)	117.500000 (4)
Q8EJD4_SHEON/15-145	0.689231 (6)	98.392860 (7)	0.000000 (0)
C0A2U8_9BACT/5-135	1.201538 (7)	131.732147 (8)	117.500000 (4)
A9H8C8_GLUDA/7-150	38.341537 (24)	0.000000 (0)	0.000000 (0)
Q5LLP5_SILPO/140-274	0.910769 (7)	131.732147 (8)	0.000000 (0)
G8JS20_ERECY/7-153	35.593845 (23)	0.000000 (0)	0.000000 (0)
Q30XI1_DESDG/7-139	1.186154 (7)	81.928574 (6)	117.500000 (4)
F7V246_CLOSS/7-143	0.775385 (5)	0.000000 (1)	0.000000 (0)
D5AV32_RHOCB/121-255	1.295385 (8)	131.732147 (8)	0.000000 (0)
D0DTC0_LACFE/6-128	1.092308 (8)	59.678570 (5)	0.000000 (1)
A4QE97_CORGB/7-133	0.826154 (6)	21.696428 (4)	62.583332 (3)
A9KJA9_CLOPH/6-127	1.380000 (9)	34.017857 (4)	0.000000 (1)
A1VS65_POLNA/4-140	7.018462 (13)	0.000000 (0)	0.000000 (0)
I1CWF4_9PSEU/9-130	0.644615 (6)	54.071430 (5)	117.500000 (4)
H0JI53_9PSED/5-148	46.073845 (26)	0.000000 (0)	0.000000 (0)
E6K877_9BACT/12-158	44.315384 (25)	0.000000 (0)	0.000000 (0)
A4TUG1_9PROT/8-139	1.098462 (7)	3.428571 (2)	56.916668 (3)
C7Q092_CATAD/8-129	0.644615 (6)	54.071430 (5)	117.500000 (4)
F9ZKC8_9PROT/3-133	1.538462 (8)	131.732147 (8)	0.000000 (0)
D2RK15_ACIFV/4-147	12.621538 (15)	0.000000 (0)	0.000000 (0)
H9XTU1_9ENTR/16-150	7.307693 (14)	0.000000 (0)	0.000000 (0)
B0UL75_METS4/19-154	1.233846 (8)	3.428571 (2)	24.000000 (2)
A4WCF1_ENT38/5-139	8.084616 (14)	0.000000 (0)	0.000000 (0)
F4L584_HALH1/3-148	40.878460 (25)	0.000000 (0)	0.000000 (0)
E1RFT7_METP4/10-134	1.330769 (9)	14.375000 (3)	24.000000 (2)
A1AVJ4_RUTMC/1-138	35.806152 (22)	0.000000 (0)	0.000000 (0)
A1BEY9_CHLPD/6-140	1.201538 (7)	39.196430 (5)	117.500000 (4)
B6FX77_9FIRM/1-129	8.021539 (9)	0.000000 (0)	0.000000 (0)
G1T489_RABIT/15-161	39.775383 (25)	0.000000 (0)	0.000000 (1)
D4Z6G2_SPHJU/5-148	35.970768 (23)	0.000000 (0)	0.000000 (0)
F7JL76_9FIRM/351-487	4.646154 (9)	0.000000 (0)	0.000000 (1)
E5VJ57_9FIRM/4-144	1.072308 (7)	0.000000 (0)	0.000000 (0)
E5VS90_9FIRM/4-143	2.121538 (9)	0.000000 (0)	0.000000 (0)
D5WQS2_BACT2/23-152	1.201538 (7)	108.482140 (7)	117.500000 (4)
D7A9X0_STAND/13-147	0.755385 (6)	131.732147 (8)	0.000000 (0)
Q5P2B5_AROAE/29-162	3.226154 (10)	0.000000 (0)	0.000000 (1)
F4C2X3_SPHS2/4-133	1.201538 (7)	85.178574 (6)	117.500000 (4)
A6WVQ1_OCHA4/27-158	1.486154 (8)	3.428571 (2)	24.000000 (2)
A3SD79_9RHOB/119-253	0.860000 (7)	131.732147 (8)	0.000000 (0)
B0SI12_LEPBA/7-152	36.235386 (23)	0.000000 (0)	0.000000 (0)
A9NFH8_ACHLI/4-123	1.024615 (8)	47.857143 (5)	117.500000 (4)
C4RDP7_9ACTO/114-286	2.901538 (11)	0.000000 (0)	0.000000 (1)
B9L4T4_THERP/1-129	0.472308 (5)	98.392860 (7)	62.583332 (3)
F7TKP8_PASMD/5-147	14.083076 (16)	0.000000 (1)	0.000000 (0)
Q1YH94_MOBAS/45-176	1.318462 (8)	3.428571 (2)	0.000000 (1)
E4VJS8_9HELI/7-147	21.201538 (18)	0.000000 (0)	0.000000 (0)
E4MJY7_9FIRM/4-149	17.290770 (18)	0.000000 (0)	0.000000 (1)
F4MLF8_9FLAO/1-141	46.073845 (26)	0.000000 (0)	0.000000 (0)
H3NXI4_9GAMM/7-137	0.920000 (7)	78.160713 (6)	0.000000 (0)
B0W218_CULQU/3-142	17.564615 (17)	0.000000 (0)	0.000000 (0)
A7IMD9_XANP2/126-260	0.684615 (7)	131.732147 (8)	0.000000 (0)
C5PCE1_COCP7/15-182	42.195385 (25)	0.000000 (0)	0.000000 (0)
A4XSG7_PSEMY/7-131	0.933846 (6)	46.732143 (5)	14.250000 (2)
F9Z500_ODOSD/4-151	43.103077 (25)	0.000000 (0)	0.000000 (0)
C4LHY6_CORK4/9-152	22.712307 (20)	2.464286 (2)	0.000000 (0)
C3R5F8_9BACE/3-133	1.201538 (7)	85.178574 (6)	117.500000 (4)
Q0A535_ALHEH/7-136	1.538462 (8)	84.446426 (6)	117.500000 (4)
G8YFZ0_PICSO/30-176	37.570770 (24)	0.000000 (0)	0.000000 (0)
G8TZ30_9FIRM/7-141	4.201539 (12)	0.000000 (0)	0.000000 (1)
H0HL27_9RHIZ/9-153	46.073845 (26)	0.000000 (0)	0.000000 (0)
A3SNS0_9RHOB/8-142	0.906154 (7)	131.732147 (8)	0.000000 (0)
D5CI21_ENTCC/8-145	10.358461 (15)	0.000000 (1)	0.000000 (0)
D9QTZ7_ACEAZ/5-138	1.986154 (9)	0.000000 (0)	0.000000 (1)
B5RU72_DEBHA/14-160	42.536922 (25)	0.000000 (0)	0.000000 (0)
H0PXN8_9RHOO/10-146	8.373846 (15)	0.000000 (0)	0.000000 (0)
G4EEF2_9BACL/4-186	3.495385 (11)	0.000000 (0)	0.000000 (1)
G4T299_META2/4-135	1.376923 (8)	108.482140 (7)	0.000000 (0)
F0SH48_PLABD/6-137	0.755385 (6)	39.196430 (5)	117.500000 (4)
A6DKW6_9BACT/4-150	35.555386 (23)	0.000000 (0)	0.000000 (0)
A1WXC6_HALHL/449-596	9.878462 (14)	0.000000 (0)	0.000000 (0)
C7XXC7_9LACO/3-146	24.755384 (20)	0.000000 (0)	0.000000 (1)
Q0VQP2_ALCBS/5-150	46.073845 (26)	0.000000 (0)	0.000000 (0)
E6PPK0_9ZZZZ/57-191	0.870769 (7)	131.732147 (8)	0.000000 (0)
G0LCU2_ZOBGA/5-145	35.027691 (23)	0.000000 (0)	0.000000 (0)
F3ZRJ3_9BACE/1-128	29.038462 (16)	0.000000 (0)	0.000000 (0)
G2Q8Q2_THIHA/7-155	42.170769 (25)	0.000000 (0)	0.000000 (0)
G2J0M5_PSEUL/1-142	44.135384 (25)	0.000000 (0)	0.000000 (0)
E3C700_9LACO/3-146	20.883078 (20)	0.000000 (0)	0.000000 (0)
G7GZI6_9ACTO/1-129	14.227693 (12)	0.000000 (0)	0.000000 (1)
C4RM17_9ACTO/98-218	0.996923 (8)	45.232143 (5)	0.000000 (1)
A9EMG4_9RHOB/117-251	0.743077 (6)	131.732147 (8)	0.000000 (0)
D7BD98_MEISD/7-138	0.527692 (6)	99.410713 (7)	62.583332 (3)
D9X7N0_STRVR/122-251	1.284615 (8)	78.160713 (6)	0.000000 (0)
C4KYU9_EXISA/6-143	2.803077 (10)	0.000000 (0)	24.000000 (2)
E9SX38_COREQ/21-186	5.955385 (13)	0.000000 (0)	0.000000 (0)
F2IX80_POLGS/13-147	1.043077 (7)	131.732147 (8)	0.000000 (0)
G7Z9X6_AZOL4/9-143	0.472308 (5)	104.964287 (7)	0.000000 (1)
B7QN90_IXOSC/1-148	32.009232 (21)	0.000000 (0)	0.000000 (1)
F0EZN3_9NEIS/5-145	15.884615 (17)	0.000000 (1)	0.000000 (1)
E6SET7_INTC7/10-184	7.546154 (13)	0.000000 (0)	0.000000 (0)
G0A8V8_COLFT/5-138	10.044616 (15)	0.000000 (0)	0.000000 (1)
G2T7W1_RHORU/9-140	1.661538 (8)	9.946428 (3)	56.916668 (3)
Q6MPN6_BDEBA/18-161	33.612309 (23)	0.000000 (0)	0.000000 (0)
C8S2T4_9RHOB/5-139	10.107693 (15)	0.000000 (0)	0.000000 (0)
E1K226_DESFR/14-147	1.786154 (8)	75.553574 (6)	117.500000 (4)
F0SJU5_PLABD/4-134	1.201538 (7)	104.964287 (7)	65.833336 (3)
H0SQR0_9BRAD/8-142	0.755385 (6)	131.732147 (8)	0.000000 (0)
A7NNJ1_ROSCS/6-146	1.638462 (6)	0.000000 (1)	0.000000 (0)
F8N5E8_9BACT/3-133	1.201538 (7)	85.178574 (6)	65.833336 (3)
B2IG22_BEII9/8-142	0.755385 (6)	131.732147 (8)	0.000000 (0)
Q5P0E6_AROAE/9-154	35.093845 (24)	0.000000 (0)	0.000000 (0)
F4XB92_9FIRM/7-128	1.024615 (8)	47.857143 (5)	22.000000 (2)
C9PPB0_9PAST/7-149	16.575384 (17)	0.000000 (1)	0.000000 (0)
A0YUB0_LYNSP/5-150	46.073845 (26)	0.000000 (0)	0.000000 (0)
H8FQ85_RHOMO/9-140	1.098462 (7)	3.428571 (2)	56.916668 (3)
B5JLV5_9BACT/1-127	26.832308 (16)	0.000000 (0)	0.000000 (0)
D4YJ97_9MICO/6-132	0.535385 (5)	9.321428 (3)	24.333334 (2)
ARSC2_BACC1/7-130	1.201538 (7)	84.446426 (6)	65.833336 (3)
G2FFC7_9GAMM/9-154	42.972309 (25)	0.000000 (0)	0.000000 (0)
E8PQ29_THESS/3-130	0.476923 (4)	105.267860 (7)	65.833336 (3)
B9R5U3_9RHOB/4-138	0.538462 (6)	131.732147 (8)	0.000000 (0)
A5N099_CLOK5/5-126	1.092308 (8)	34.017857 (4)	22.000000 (2)
G6G1P7_9FIRM/4-139	5.256923 (13)	0.000000 (0)	0.000000 (1)
B7RUD6_9GAMM/1-129	31.393847 (17)	0.000000 (0)	0.000000 (0)
E6J9V4_9ACTO/9-150	23.541538 (20)	0.000000 (0)	0.000000 (1)
H6RE88_9BACT/3-147	46.073845 (26)	0.000000 (0)	0.000000 (0)
G7WN27_METH6/7-135	0.215385 (4)	31.392857 (4)	65.833336 (3)
Q0AUC2_SYNWW/1-130	0.000000 (1)	0.000000 (0)	0.000000 (0)
H7F3Y8_9LIST/4-147	30.826155 (22)	0.000000 (0)	0.000000 (0)
A7B164_RUMGN/6-127	1.092308 (8)	59.678570 (5)	22.000000 (2)
